Возраст;Место рождения;Место жительства;Пол;Файл;Миска;Оладьи;Бордюр;Гречка;Шаурма
19;Вологодская область;Вологодская область;female;файл;калабашка;олашки;поребрик;греча;шаурма
19;Новосибирская область;Новосибирская область;female;мультифора;миска;оладьи;бордюр;гречка;ша ша урма верма
